Number of Iterations,Reward,Lost Data
729,-70.53404692,66.8611437
730,-68.63043988,62.16627566
731,-67.13595308,58.35307918
732,-61.79777126,45.24222874
733,-67.7756305,60.18504399
734,-70.05697947,65.51818182
735,-72.70439883,72.38049853
736,-73.43539589,74.11085044
737,-70.49519062,66.59721408
738,-67.08434018,58.45498534
739,-65.43744868,54.26994135
740,-71.33090909,68.98709677
741,-69.8140176,65.19486804
742,-69.42378299,63.9388563
743,-70.56205279,66.92565982
744,-76.12774194,80.59061584
745,-71.7568915,69.86143695
746,-68.8968915,62.81041056
747,-71.52173021,69.31568915
748,-72.40891496,71.54648094
749,-71.39348974,69.0702346
750,-69.91123167,65.14281525
751,-67.82674487,60.19369501
752,-71.17510264,68.57741935
753,-69.03530792,63.31041056
754,-66.20985337,55.96818182
755,-64.03560117,51.08973607
756,-75.23870968,78.5659824
757,-78.92706745,87.43313783
758,-67.67733138,59.57272727
759,-70.87774194,67.61041056
760,-72.85791789,72.42521994
761,-70.41941349,66.56173021
762,-75.67108504,79.50395894
763,-68.03041056,60.85498534
764,-76.05249267,80.38049853
765,-79.69307918,89.4159824
766,-71.38480938,68.72961877
767,-66.09741935,55.97668622
768,-75.68307918,79.57609971
769,-72.09032258,70.44941349
770,-70.54876833,66.89061584
771,-73.35178886,73.82302053
772,-71.83378299,70.28460411
773,-65.41090909,54.23108504
774,-68.77771261,62.45014663
775,-74.10360704,75.55410557
776,-77.18750733,83.18870968
777,-74.23222874,75.9159824
778,-72.59997067,71.96730205
779,-63.95,50.67228739
780,-75.41665689,78.75791789
781,-74.79492669,77.36304985
782,-70.57252199,66.82536657
783,-77.2055132,83.60395894
784,-74.69360704,76.82565982
785,-73.32064516,73.84046921
786,-68.06281525,60.83519062
787,-73.76973607,74.6186217
788,-72.09146628,70.39178886
789,-69.05982405,63.01979472
790,-74.1468915,75.45337243
791,-68.76255132,62.55337243
792,-70.78325513,67.59046921
793,-76.01082111,80.19750733
794,-76.3458651,81.08826979
795,-71.45228739,68.95513196
796,-74.87378299,77.27243402
797,-75.86219941,79.7856305
798,-72.53193548,71.76055718
799,-72.92891496,72.67785924
800,-67.14542522,58.53621701
801,-69.20651026,63.40117302
802,-77.42187683,83.66832845
803,-78.30524927,85.92991202
804,-69.38859238,63.86554252
805,-72.1144868,70.63079179
806,-70.86190616,67.60381232
807,-72.53868035,71.66378299
808,-77.0213783,82.65791789
809,-70.20826979,65.95322581
810,-72.31824047,71.11451613
811,-76.23782991,80.61290323
812,-73.97348974,75.13900293
813,-71.21739003,68.40821114
814,-75.95607038,80.09178886
815,-76.9598827,82.56832845
816,-72.53372434,71.53958944
817,-71.54378299,69.10322581
818,-68.5959824,62.12595308
819,-71.26768328,68.64941349
820,-76.9314956,82.47903226
821,-70.41516129,66.47228739
822,-61.94750733,45.62390029
823,-68.86454545,62.57375367
824,-71.43102639,68.83782991
825,-69.89715543,65.26524927
826,-69.15052786,63.5856305
827,-71.41428152,68.85278592
828,-67.86205279,60.09134897
829,-65.71844575,55.06407625
830,-69.87486804,65.04090909
831,-70.29519062,66.0898827
832,-70.96343109,67.57536657
833,-69.38630499,64.0101173
834,-71.23073314,68.49472141
835,-71.03316716,68.06129032
836,-72.86982405,72.50997067
837,-75.26958944,78.24178886
838,-73.74041056,74.72492669
839,-77.89008798,84.81686217
840,-76.00932551,80.35322581
841,-65.95653959,55.38255132
842,-70.18677419,65.91964809
843,-70.31351906,66.21085044
844,-77.67134897,84.22785924
845,-76.97184751,82.74120235
846,-68.15979472,61.12346041
847,-67.88398827,60.17184751
848,-72.59648094,71.69648094
849,-76.31076246,80.87771261
850,-72.24859238,70.89457478
851,-74.05812317,75.321261
852,-74.9301173,77.45909091
853,-74.79501466,76.93255132
854,-72.82090909,72.1457478
855,-68.94029326,62.72829912
856,-68.95715543,62.6329912
857,-76.01826979,80.29677419
858,-75.27102639,78.37917889
859,-68.03290323,60.5441349
860,-70.50750733,66.7159824
861,-73.69064516,74.59868035
862,-70.86539589,67.61803519
863,-75.22914956,78.28548387
864,-75.49331378,78.94956012
865,-71.80466276,69.86539589
866,-72.36187683,71.19794721
867,-79.56492669,88.79868035
868,-70.6057478,66.8186217
869,-70.49507331,66.63357771
870,-69.45258065,64.08049853
871,-75.42296188,78.81217009
872,-75.83964809,79.778739
873,-77.72636364,84.4643695
874,-76.48812317,81.14516129
875,-76.41140762,81.14765396
876,-64.73293255,52.21906158
877,-62.1198827,46.03284457
878,-72.54501466,71.6356305
879,-71.29803519,68.70879765
880,-77.75982405,84.31524927
881,-76.01178886,80.15777126
882,-74.1529912,75.64824047
883,-66.22431085,56.1271261
884,-69.94521994,65.30659824
885,-79.12970674,87.93607038
886,-83.29348974,97.9771261
887,-76.54891496,81.44926686
888,-70.19334311,65.81143695
889,-70.06085044,65.4068915
890,-75.34093842,78.43665689
891,-68.69419355,62.21568915
892,-77.50835777,83.84237537
893,-71.85668622,69.76818182
894,-72.79337243,72.27668622
895,-71.1514956,68.21231672
896,-69.4413783,64.18445748
897,-78.93621701,87.33870968
898,-72.15917889,70.70953079
899,-72.10530792,70.31642229
900,-72.75706745,71.99530792
901,-67.06812317,57.97272727
902,-67.65140762,59.5372434
903,-67.24225806,58.7159824
904,-67.45750733,59.23577713
905,-72.64002933,71.85117302
906,-77.05243402,82.71539589
907,-66.43683284,56.59794721
908,-67.86322581,60.0026393
909,-75.84824047,79.82038123
910,-77.29407625,83.19853372
911,-73.68032258,74.45190616
912,-72.16780059,70.54780059
913,-72.67404692,71.88123167
914,-69.97187683,65.02683284
915,-75.36105572,78.54926686
916,-72.12750733,70.48739003
917,-71.05812317,67.76627566
918,-68.26774194,61.0542522
919,-77.16099707,83.12243402
920,-70.50604106,66.58035191
921,-64.2242522,51.24061584
922,-79.95231672,89.80747801
923,-73.5858651,74.09662757
