Number of Iterations,Reward,Lost Data
607.0,-66.89875,61.53886719
608.0,-77.32259766,87.08945313
609.0,-67.08724609,62.06259766
610.0,-76.70308594,85.70302734
611.0,-68.41099609,65.2328125
612.0,-69.00166016,66.78271484
613.0,-71.90759766,73.77412109
614.0,-71.02300781,71.33193359
615.0,-71.42716797,72.40214844
616.0,-74.80166016,80.3671875
617.0,-74.41599609,79.52509766
618.0,-67.62707031,62.82744141
619.0,-69.29146484,66.86269531
620.0,-70.56642578,69.84013672
621.0,-78.40070313,89.29521484
622.0,-65.43619141,57.11708984
623.0,-72.90609375,75.60996094
624.0,-66.71046875,60.32109375
625.0,-80.34046875,94.29599609
626.0,-68.08433594,64.14882813
627.0,-76.21851563,83.81777344
628.0,-69.83626953,67.96347656
629.0,-72.45208984,74.25400391
630.0,-70.95722656,70.59130859
631.0,-74.68017578,79.69970703
632.0,-73.00849609,75.59375
633.0,-66.71271484,60.26933594
634.0,-67.408125,62.08964844
635.0,-66.26998047,58.90371094
636.0,-65.09642578,55.95029297
637.0,-76.61121094,84.25751953
638.0,-69.80970703,67.31357422
639.0,-68.39935547,63.59970703
640.0,-70.44339844,68.63291016
641.0,-77.65841797,86.20537109
642.0,-70.18142578,67.99384766
643.0,-70.81804688,69.17890625
644.0,-65.2959375,55.52011719
645.0,-71.92570313,71.90410156
646.0,-68.05056641,62.72529297
647.0,-73.41595703,75.775
648.0,-67.00380859,59.89111328
649.0,-73.6828125,76.26757813
650.0,-69.74011719,66.8234375
651.0,-71.75826172,72.11171875
652.0,-72.06958984,72.40175781
653.0,-69.15941406,64.9859375
654.0,-76.435,83.0015625
655.0,-69.34107422,65.45107422
656.0,-70.02169922,66.79863281
657.0,-67.00630859,59.53359375
658.0,-139.0355859,281.646582
659.0,-139.0248633,281.7308594
660.0,-135.8556445,273.8981445
661.0,-136.044082,273.8931641
662.0,-132.2997266,264.6824219
663.0,-133.364375,267.4856445
664.0,-211.7898047,463.244043
665.0,-131.9657422,263.4763672
666.0,-129.109668,255.7001953
667.0,-128.7933594,254.8837891
668.0,-127.9366602,252.4161133
669.0,-126.8044531,249.2572266
670.0,-124.6086914,243.300293
671.0,-123.7570313,241.1772461
672.0,-123.6704492,240.99375
673.0,-122.2794141,237.2097656
674.0,-120.6273242,232.8073242
675.0,-119.5121289,229.7898438
676.0,-117.4310352,224.2648437
677.0,-117.4085742,223.9669922
678.0,-115.871875,220.1240234
679.0,-114.4946289,216.027832
680.0,-113.4256055,212.8645508
681.0,-112.2366797,209.6493164
682.0,-112.4546289,210.0660156
683.0,-209.3938867,451.3082031
684.0,-110.2911328,204.5486328
685.0,-110.0830469,203.4961914
686.0,-108.6737109,199.7775391
687.0,-107.8826953,196.8527344
688.0,-108.4657422,198.0808594
689.0,-105.2780273,190.5351563
690.0,-106.2118945,192.1227539
691.0,-102.1581641,181.5379883
692.0,-104.9167773,189.0753906
693.0,-104.0591406,186.3001953
694.0,-103.1691211,183.9713867
695.0,-102.397793,181.2837891
696.0,-104.3673242,185.6070313
697.0,-102.4579688,180.5248047
698.0,-98.35802734,170.0271484
699.0,-98.74970703,170.8427734
700.0,-97.94982422,168.5061523
701.0,-103.2587695,181.0729492
702.0,-100.5416016,173.9223633
703.0,-98.55980469,169.0899414
704.0,-94.76404297,159.1232422
705.0,-93.86617188,156.8675781
706.0,-94.97808594,159.5008789
707.0,-94.98542969,158.8356445
708.0,-205.5360352,435.3476562
709.0,-89.83832031,146.3731445
710.0,-96.19689453,160.6228516
711.0,-93.98865234,155.5368164
712.0,-92.92919922,152.5048828
713.0,-88.84167969,142.3507813
714.0,-90.19496094,145.0357422
715.0,-87.51039063,138.1802734
716.0,-89.17351563,141.4054687
717.0,-87.54085938,137.2212891
718.0,-85.96332031,133.0772461
719.0,-85.5990625,131.778418
720.0,-87.07511719,134.9363281
721.0,-89.94681641,141.4673828
722.0,-84.81132813,128.8276367
723.0,-84.49574219,128.0801758
724.0,-83.65861328,125.5759766
725.0,-86.86017578,133.5115234
726.0,-83.47566406,125.0172852
727.0,-84.97164062,128.8890625
728.0,-87.63419922,134.3381836
729.0,-81.46636719,118.7416016
730.0,-83.15146484,122.9042969
731.0,-80.85613281,117.0011719
732.0,-82.79242188,121.8711914
733.0,-81.10710938,117.7677734
734.0,-80.78775391,116.3773438
735.0,-83.94714844,124.0475586
736.0,-81.28542969,117.3419922
737.0,-82.87384766,121.3191406
738.0,-81.84273438,119.0282227
739.0,-82.63341797,120.6814453
740.0,-81.16544922,116.7014648
741.0,-83.32107422,122.1491211
742.0,-82.43746094,119.7557617
743.0,-83.94662109,123.1294922
744.0,-77.51664063,107.0044922
745.0,-79.20751953,111.7993164
746.0,-80.12792969,113.2885742
747.0,-80.87771484,115.5646484
748.0,-79.55929688,112.0818359
749.0,-78.46982422,109.3764648
750.0,-77.11486328,105.4299805
751.0,-83.71462891,122.2711914
752.0,-78.84388672,109.7330078
753.0,-83.58373047,121.3116211
754.0,-81.45568359,115.234668
755.0,-78.12912109,107.8313477
756.0,-77.67208984,106.2053711
757.0,-79.30365234,109.5054688
758.0,-74.36955078,96.96025391
759.0,-77.46814453,103.9450195
760.0,-81.8140625,114.7011719
761.0,-72.41275391,91.61416016
